aadi:0.8450980400142568:6,0.8450980400142568; 
declaracin:0.8450980400142568:6,1.3538977586565184; 
decolor:0.8450980400142568:6,0.8450980400142568; 
decor:0.8450980400142568:6,0.8450980400142568; 
decrsel:0.8450980400142568:6,0.8450980400142568; 
decrtel:0.8450980400142568:6,0.8450980400142568; 
ded:0.6020599913279624:6,1.4219018404717594; 2,0.6020599913279624; 
dedcat:0.8450980400142568:6,0.8450980400142568; 
dedic:0.8450980400142568:6,1.2483122772269866; 
dediqu:0.8450980400142568:6,0.8450980400142568; 
deduzc:0.8450980400142568:6,0.8450980400142568; 
defend:0.47712125471966244:6,0.9080046824380221; 3,0.47712125471966244; 5,0.47712125471966244; 
defens:0.47712125471966244:6,0.764376873198569; 3,0.47712125471966244; 4,0.47712125471966244; 
defin:0.6020599913279624:6,0.6020599913279624; 3,0.6020599913279624; 
defini:0.8450980400142568:6,0.8450980400142568; 
definit:0.8450980400142568:6,1.2483122772269866; 
deform:0.8450980400142568:6,0.8450980400142568; 
defraud:0.8450980400142568:1,0.8450980400142568; 
deglut:0.8450980400142568:6,0.8450980400142568; 
dej:0.3979400086720376:1,0.3979400086720376; 2,0.5878056449127935; 3,0.5177318877571058; 6,1.2391626446212165; 
dejndol:0.8450980400142568:6,1.4357962207073829; 
dejndos:0.8450980400142568:6,1.2483122772269866; 
delagu:0.8450980400142568:2,0.8450980400142568; 
delant:0.8450980400142568:6,2.508659121638672; 
delanter:0.8450980400142568:6,1.6515265144397162; 
delat:0.8450980400142568:6,1.3538977586565184; 
deleitndos:0.8450980400142568:6,0.8450980400142568; 
delg:0.8450980400142568:6,1.5027121365481173; 
delgadit:0.8450980400142568:6,0.8450980400142568; 
deliber:0.8450980400142568:6,1.0994978993353877; 
delic:0.8450980400142568:6,0.8450980400142568; 
delin:0.8450980400142568:6,1.0994978993353877; 
delir:0.8450980400142568:6,1.4357962207073829; 
deliri:0.8450980400142568:6,1.2483122772269866; 
demacr:0.8450980400142568:6,0.8450980400142568; 
demand:0.8450980400142568:0,0.8450980400142568; 
demasi:0.8450980400142568:6,2.22553903024968; 
demenci:0.8450980400142568:6,0.8450980400142568; 
demencial:0.8450980400142568:6,1.3538977586565184; 
dement:0.8450980400142568:6,1.5027121365481173; 
demoni:0.8450980400142568:6,1.4357962207073829; 
demor:0.8450980400142568:6,1.0994978993353877; 
demostr:0.8450980400142568:6,1.8849480118086925; 
dems:0.6020599913279624:6,1.597393103034825; 4,0.6020599913279624; 
demuestr:0.8450980400142568:6,1.2483122772269866; 
den:0.8450980400142568:6,0.8450980400142568; 
denethor:0.8450980400142568:0,1.5592887372501953; 
denm:0.8450980400142568:6,0.8450980400142568; 
denomin:0.8450980400142568:6,0.8450980400142568; 
denot:0.8450980400142568:6,0.8450980400142568; 
dens:0.8450980400142568:6,1.5027121365481173; 
densid:0.8450980400142568:6,0.8450980400142568; 
dent:0.8450980400142568:6,0.8450980400142568; 
depend:0.8450980400142568:6,1.3538977586565184; 
depender:0.8450980400142568:6,0.8450980400142568; 
deposit:0.8450980400142568:6,0.8450980400142568; 
depresin:0.8450980400142568:6,1.0994978993353877; 
deprim:0.8450980400142568:6,1.0994978993353877; 
depriment:0.8450980400142568:6,1.0994978993353877; 
depris:0.8450980400142568:6,1.4357962207073829; 
depsit:0.8450980400142568:6,1.2483122772269866; 
derech:0.8450980400142568:6,2.388310276696146; 
dernhelm:0.8450980400142568:0,1.0994978993353877; 
derram:0.8450980400142568:6,0.8450980400142568; 
derrib:0.8450980400142568:0,0.8450980400142568; 
derrot:0.3979400086720376:6,0.757315645927242; 2,0.5878056449127935; 3,0.5878056449127935; 4,0.3979400086720376; 
derru:0.8450980400142568:6,0.8450980400142568; 
derrumb:0.8450980400142568:6,1.3538977586565184; 
des:0.6020599913279624:6,1.597393103034825; 4,0.6020599913279624; 
desabroch:0.8450980400142568:6,0.8450980400142568; 
desactiv:0.8450980400142568:6,1.5027121365481173; 
desafi:0.8450980400142568:6,1.5592887372501953; 
desafortun:0.6020599913279624:6,0.6020599913279624; 3,0.6020599913279624; 
desagr:0.8450980400142568:6,1.2483122772269866; 
desagrad:0.8450980400142568:6,1.725176957126657; 
desalent:0.8450980400142568:6,1.0994978993353877; 
desalient:0.8450980400142568:6,1.5027121365481173; 
desalm:0.8450980400142568:6,0.8450980400142568; 
desanim:0.8450980400142568:6,1.608297617977649; 
desaparec:0.6020599913279624:1,0.7832981079068755; 6,1.4825113172610376; 
desaparecer:0.8450980400142568:6,1.0994978993353877; 
desapareci:0.6020599913279624:6,1.292097826549137; 5,0.6020599913279624; 
desaparezc:0.8450980400142568:6,0.8450980400142568; 
desaparicin:0.8450980400142568:6,0.8450980400142568; 
desaprovech:0.8450980400142568:6,0.8450980400142568; 
desarroll:0.8450980400142568:6,1.5027121365481173; 
desarrollndos:0.8450980400142568:6,0.8450980400142568; 
desasosieg:0.8450980400142568:6,0.8450980400142568; 
desastr:0.6020599913279624:6,0.9645362244857886; 5,0.6020599913279624; 
desat:0.6020599913279624:6,0.7832981079068755; 1,0.6020599913279624; 
desatndos:0.8450980400142568:6,0.8450980400142568; 
desayun:0.6020599913279624:6,1.292097826549137; 3,0.6020599913279624; 
desbord:0.8450980400142568:6,0.8450980400142568; 
descans:0.6020599913279624:4,0.6020599913279624; 6,1.3270124576436149; 
descar:0.8450980400142568:6,0.8450980400142568; 
descarg:0.6020599913279624:6,0.7832981079068755; 0,0.6020599913279624; 
descart:0.8450980400142568:6,0.8450980400142568; 
descend:0.6020599913279624:6,1.110859709970224; 1,0.6020599913279624; 
descendent:0.8450980400142568:6,0.8450980400142568; 
descens:0.8450980400142568:6,1.0994978993353877; 
descifr:0.8450980400142568:6,1.5592887372501953; 
desclav:0.8450980400142568:6,0.8450980400142568; 
descolg:0.8450980400142568:6,0.8450980400142568; 
descolor:0.8450980400142568:6,1.2483122772269866; 
descomposicin:0.8450980400142568:6,0.8450980400142568; 
descomunal:0.8450980400142568:6,0.8450980400142568; 
desconcert:0.8450980400142568:6,1.5592887372501953; 
desconciert:0.6020599913279624:2,0.6020599913279624; 6,0.9645362244857886; 
desconect:0.8450980400142568:6,0.8450980400142568; 
desconoc:0.8450980400142568:6,1.7571119958692483; 
desconsol:0.8450980400142568:6,0.8450980400142568; 
descontrol:0.8450980400142568:6,1.0994978993353877; 
descripcin:0.8450980400142568:6,0.8450980400142568; 
descu:0.8450980400142568:1,0.8450980400142568; 
descubiert:0.47712125471966244:6,0.9324106381301924; 1,0.47712125471966244; 5,0.6207490639591157; 
descubr:0.47712125471966244:1,0.6207490639591157; 3,0.6207490639591157; 6,1.1886816173227117; 
descubri:0.8450980400142568:6,1.8390104579201128; 
desdobl:0.8450980400142568:6,0.8450980400142568; 
dese:0.6020599913279624:6,1.1765712282857754; 5,0.6020599913279624; 
desencad:0.8450980400142568:6,1.0994978993353877; 
desencaden:0.8450980400142568:6,0.8450980400142568; 
desenvolv:0.8450980400142568:6,0.8450980400142568; 
desequilibr:0.8450980400142568:6,0.8450980400142568; 
desesper:0.8450980400142568:6,1.9795768164477876; 
desesperacin:0.8450980400142568:6,1.8849480118086925; 
desfallec:0.8450980400142568:6,0.8450980400142568; 
desfilader:0.8450980400142568:1,0.8450980400142568; 
desgan:0.8450980400142568:6,0.8450980400142568; 
desgarr:0.8450980400142568:6,1.608297617977649; 
desgraci:0.8450980400142568:6,1.0994978993353877; 
deshac:0.8450980400142568:6,0.8450980400142568; 
deshech:0.8450980400142568:2,0.8450980400142568; 
desiert:0.8450980400142568:6,1.0994978993353877; 
desigual:0.8450980400142568:6,0.8450980400142568; 
desilusin:0.8450980400142568:6,1.2483122772269866; 
desilusion:0.8450980400142568:6,1.2483122772269866; 
desintegr:0.8450980400142568:6,0.8450980400142568; 
desliz:0.8450980400142568:6,2.068088455892457; 
deslizndol:0.8450980400142568:6,0.8450980400142568; 
deslizndos:0.8450980400142568:6,1.0994978993353877; 
deslom:0.8450980400142568:6,1.0994978993353877; 
deslomndos:0.8450980400142568:6,0.8450980400142568; 
deslumbr:0.8450980400142568:6,0.8450980400142568; 
desmalez:0.8450980400142568:6,1.2483122772269866; 
desmay:0.8450980400142568:6,0.8450980400142568; 
desmoron:0.8450980400142568:6,1.0994978993353877; 
desmoronart:0.8450980400142568:6,0.8450980400142568; 
desmoronndos:0.8450980400142568:6,0.8450980400142568; 
desnud:0.8450980400142568:6,1.0994978993353877; 
desorbit:0.8450980400142568:6,0.8450980400142568; 
desord:0.8450980400142568:6,0.8450980400142568; 
desorden:0.8450980400142568:6,0.8450980400142568; 
desorient:0.8450980400142568:6,0.8450980400142568; 
despach:0.8450980400142568:6,0.8450980400142568; 
despaci:0.8450980400142568:6,1.4357962207073829; 
desparram:0.8450980400142568:6,1.2483122772269866; 
desparramndos:0.8450980400142568:6,0.8450980400142568; 
desped:0.6020599913279624:6,1.070553726385782; 2,0.6020599913279624; 
despedaz:0.8450980400142568:6,0.8450980400142568; 
despeg:0.8450980400142568:6,1.0994978993353877; 
desperdici:0.8450980400142568:6,0.8450980400142568; 
desperdicir:0.8450980400142568:6,0.8450980400142568; 
desperdig:0.8450980400142568:6,1.2483122772269866; 
despert:0.47712125471966244:2,0.47712125471966244; 4,0.47712125471966244; 6,1.2564837737907837; 
despertart:0.8450980400142568:6,0.8450980400142568; 
despiad:0.8450980400142568:6,1.0994978993353877; 
despid:0.8450980400142568:6,0.8450980400142568; 
despidi:0.8450980400142568:6,0.8450980400142568; 
despiert:0.6020599913279624:6,1.2041199826559248; 2,0.6020599913279624; 
desplaz:0.8450980400142568:6,1.2483122772269866; 
despleg:0.8450980400142568:6,1.608297617977649; 
desplegndos:0.8450980400142568:6,0.8450980400142568; 
desplom:0.8450980400142568:6,1.725176957126657; 
desplomndos:0.8450980400142568:6,1.2483122772269866; 
despotric:0.8450980400142568:6,0.8450980400142568; 
despreci:0.8450980400142568:6,1.2483122772269866; 
desprend:0.8450980400142568:6,1.0994978993353877; 
desprendindol:0.8450980400142568:6,0.8450980400142568; 
despreocup:0.8450980400142568:6,1.0994978993353877; 
despus:0.3979400086720376:2,0.6375237668421739; 4,0.5878056449127935; 5,0.5177318877571058; 6,1.2695606236365622; 
desquici:0.8450980400142568:6,1.3538977586565184; 
destac:0.8450980400142568:6,1.2483122772269866; 
destap:0.8450980400142568:6,0.8450980400142568; 
destartal:0.8450980400142568:6,0.8450980400142568; 
destell:0.8450980400142568:6,1.7864893837356755; 
desterr:0.8450980400142568:6,1.5027121365481173; 
desterrart:0.8450980400142568:6,0.8450980400142568; 
destierr:0.8450980400142568:6,1.5592887372501953; 
destin:0.47712125471966244:2,0.6207490639591157; 5,0.47712125471966244; 6,0.8106147001998716; 
destrab:0.8450980400142568:6,0.8450980400142568; 
destroc:0.8450980400142568:6,0.8450980400142568; 
destroz:0.8450980400142568:6,1.4357962207073829; 
destru:0.47712125471966244:6,0.8106147001998716; 3,0.47712125471966244; 4,0.47712125471966244; 
destruyer:0.8450980400142568:4,0.8450980400142568; 
destruyndos:0.8450980400142568:2,0.8450980400142568; 
desus:0.8450980400142568:6,0.8450980400142568; 
desv:0.8450980400142568:6,0.8450980400142568; 
desvanec:0.8450980400142568:6,1.5592887372501953; 
desvaneci:0.8450980400142568:6,1.608297617977649; 
desvanecindos:0.8450980400142568:6,0.8450980400142568; 
desvencij:0.8450980400142568:6,1.0994978993353877; 
desvi:0.6020599913279624:0,0.6020599913279624; 6,1.443703740826061; 
detall:0.8450980400142568:6,1.8626974772987799; 
detect:0.8450980400142568:6,1.0994978993353877; 
deten:0.8450980400142568:6,1.8849480118086925; 
detendr:0.8450980400142568:6,1.0994978993353877; 
detenert:0.8450980400142568:6,0.8450980400142568; 
deteng:0.8450980400142568:6,1.2483122772269866; 
detent:0.8450980400142568:6,1.0994978993353877; 
deterior:0.8450980400142568:6,0.8450980400142568; 
determin:0.8450980400142568:6,0.8450980400142568; 
determinacin:0.8450980400142568:6,1.2483122772269866; 
detest:0.8450980400142568:6,1.725176957126657; 
detien:0.8450980400142568:6,1.0994978993353877; 
detngans:0.8450980400142568:6,0.8450980400142568; 
deton:0.8450980400142568:6,1.2483122772269866; 
detrs:0.8450980400142568:6,2.2734794344861338; 
detuv:0.8450980400142568:6,2.3224883152135876; 
deud:0.8450980400142568:0,0.8450980400142568; 
devanart:0.8450980400142568:6,0.8450980400142568; 
devolv:0.8450980400142568:6,0.8450980400142568; 
devolvi:0.8450980400142568:6,1.2483122772269866; 
devor:0.8450980400142568:6,1.3538977586565184; 
devorart:0.8450980400142568:6,0.8450980400142568; 
dganm:0.8450980400142568:6,1.0994978993353877; 
di:0.8450980400142568:6,1.2483122772269866; 
diabl:0.8450980400142568:6,1.3538977586565184; 
diablic:0.8450980400142568:6,1.2483122772269866; 
diagnstic:0.8450980400142568:6,0.8450980400142568; 
diagram:0.8450980400142568:6,0.8450980400142568; 
diaposit:0.8450980400142568:6,0.8450980400142568; 
diari:0.8450980400142568:6,0.8450980400142568; 
dibuj:0.8450980400142568:6,1.8849480118086925; 
dic:0.8450980400142568:6,2.1283911943393865; 
dich:0.8450980400142568:6,0.8450980400142568; 
dicindol:0.8450980400142568:6,0.8450980400142568; 
dicindos:0.8450980400142568:6,0.8450980400142568; 
diecinuev:0.8450980400142568:6,0.8450980400142568; 
diecioch:0.8450980400142568:6,0.8450980400142568; 
diecisiet:0.8450980400142568:6,0.8450980400142568; 
diecisis:0.8450980400142568:6,1.5027121365481173; 
dient:0.8450980400142568:6,1.3538977586565184; 
dier:0.8450980400142568:6,1.6515265144397162; 
diez:0.8450980400142568:6,1.9257702018406655; 
difcil:0.8450980400142568:6,2.054740751652446; 
diferent:0.8450980400142568:6,0.8450980400142568; 
dificult:0.8450980400142568:6,1.8390104579201128; 
dificultndol:0.8450980400142568:6,0.8450980400142568; 
dig:0.8450980400142568:6,2.080967721759438; 
digital:0.8450980400142568:6,1.0994978993353877; 
dignid:0.8450980400142568:6,0.8450980400142568; 
dij:0.8450980400142568:6,2.040889243056806; 
dijer:0.8450980400142568:6,1.6515265144397162; 
dil:0.8450980400142568:6,1.5592887372501953; 
dilem:0.8450980400142568:6,0.8450980400142568; 
dilog:0.8450980400142568:3,0.8450980400142568; 
diluvi:0.8450980400142568:6,1.0994978993353877; 
dim:0.8450980400142568:6,1.5592887372501953; 
dimension:0.8450980400142568:6,1.0994978993353877; 
dimetr:0.8450980400142568:6,1.3538977586565184; 
diminut:0.8450980400142568:6,0.8450980400142568; 
din:0.8450980400142568:6,0.8450980400142568; 
dios:0.8450980400142568:6,1.3538977586565184; 
dir:0.8450980400142568:6,1.813688596571326; 
direccin:0.8450980400142568:6,1.9625029744629252; 
direccion:0.8450980400142568:6,1.6515265144397162; 
direct:0.8450980400142568:6,1.9795768164477876; 
dirig:0.3979400086720376:6,0.9738220882141693; 0,0.5177318877571058; 2,0.5177318877571058; 3,0.5177318877571058; 
dirigi:0.8450980400142568:6,2.1499869179433215; 
dirigindos:0.8450980400142568:6,1.3538977586565184; 
dirij:0.8450980400142568:6,0.8450980400142568; 
dis:0.8450980400142568:6,1.5027121365481173; 
disc:0.8450980400142568:6,0.8450980400142568; 
discord:0.8450980400142568:6,0.8450980400142568; 
discordi:0.8450980400142568:6,0.8450980400142568; 
discret:0.8450980400142568:6,0.8450980400142568; 
disculp:0.8450980400142568:6,1.2483122772269866; 
discurs:0.6020599913279624:6,0.6020599913279624; 5,0.6020599913279624; 
discusin:0.6020599913279624:6,0.6020599913279624; 5,0.6020599913279624; 
discusion:0.8450980400142568:6,1.3538977586565184; 
discut:0.8450980400142568:6,1.5027121365481173; 
dise:0.8450980400142568:6,1.0994978993353877; 
disfraz:0.6020599913279624:6,0.7832981079068755; 2,0.6020599913279624; 
disfrtal:0.8450980400142568:6,0.8450980400142568; 
disfrut:0.6020599913279624:3,0.6020599913279624; 6,1.2041199826559248; 
disgust:0.8450980400142568:6,1.7571119958692483; 
disimul:0.8450980400142568:6,1.608297617977649; 
disminu:0.8450980400142568:6,1.5592887372501953; 
disminuy:0.8450980400142568:6,1.5027121365481173; 
disminuyer:0.8450980400142568:6,0.8450980400142568; 
disolv:0.8450980400142568:6,0.8450980400142568; 
disolvi:0.8450980400142568:6,0.8450980400142568; 
disp:0.8450980400142568:6,1.7864893837356755; 
dispar:0.8450980400142568:6,1.7571119958692483; 
disparat:0.8450980400142568:6,1.2483122772269866; 
dispersndos:0.8450980400142568:6,0.8450980400142568; 
dispon:0.8450980400142568:0,1.0994978993353877; 
disposicin:0.8450980400142568:6,0.8450980400142568; 
disposit:0.8450980400142568:6,0.8450980400142568; 
dispuest:0.8450980400142568:6,1.9257702018406655; 
dispus:0.6020599913279624:6,0.7832981079068755; 0,0.7832981079068755; 
dist:0.8450980400142568:6,0.8450980400142568; 
distanci:0.8450980400142568:6,1.8626974772987799; 
distant:0.8450980400142568:6,1.6515265144397162; 
distingu:0.8450980400142568:6,1.7864893837356755; 
distingui:0.8450980400142568:6,1.2483122772269866; 
distint:0.47712125471966244:2,0.47712125471966244; 4,0.47712125471966244; 6,1.0641945879561199; 
distr:0.8450980400142568:6,1.0994978993353877; 
distraccin:0.8450980400142568:6,1.0994978993353877; 
distrad:0.8450980400142568:6,1.608297617977649; 
distraj:0.8450980400142568:6,1.0994978993353877; 
distribu:0.8450980400142568:6,1.5592887372501953; 
diurn:0.8450980400142568:6,0.8450980400142568; 
div:0.8450980400142568:6,0.8450980400142568; 
divers:0.8450980400142568:6,1.0994978993353877; 
diversin:0.8450980400142568:6,0.8450980400142568; 
divert:0.8450980400142568:6,1.3538977586565184; 
divertidsim:0.8450980400142568:6,0.8450980400142568; 
divid:0.6020599913279624:6,0.6020599913279624; 3,0.6020599913279624; 
diviert:0.8450980400142568:6,1.0994978993353877; 
divirtindos:0.8450980400142568:6,0.8450980400142568; 
divis:0.8450980400142568:6,1.7571119958692483; 
divn:0.8450980400142568:6,0.8450980400142568; 
djal:0.8450980400142568:6,1.2483122772269866; 
djam:0.8450980400142568:6,1.5027121365481173; 
djat:0.8450980400142568:6,0.8450980400142568; 
djenm:0.8450980400142568:6,0.8450980400142568; 
dm:0.8450980400142568:4,0.8450980400142568; 
dmel:0.8450980400142568:6,0.8450980400142568; 
dmosl:0.8450980400142568:6,0.8450980400142568; 
dnad:0.8450980400142568:0,0.8450980400142568; 
dnde:0.8450980400142568:6,2.3158751378197833; 
dndol:0.6020599913279624:6,1.229040862323327; 5,0.6020599913279624; 
dnen:0.8450980400142568:0,1.0994978993353877; 
dobl:0.8450980400142568:6,1.905926373760847; 
doc:0.8450980400142568:6,1.7864893837356755; 
docs:0.8450980400142568:6,1.8849480118086925; 
dogs:0.8450980400142568:6,0.8450980400142568; 
dol:0.6020599913279624:6,1.292097826549137; 3,0.6020599913279624; 
doli:0.8450980400142568:6,0.8450980400142568; 
dolor:0.6020599913279624:6,1.5316815847192733; 2,0.6020599913279624; 
domin:0.8450980400142568:6,1.0994978993353877; 
don:0.8450980400142568:6,1.0994978993353877; 
dondequ:0.8450980400142568:6,0.8450980400142568; 
dorm:0.6020599913279624:6,1.6637494338399506; 3,0.6020599913279624; 
dormitori:0.8450980400142568:6,1.6515265144397162; 
dosis:0.8450980400142568:6,0.8450980400142568; 
drad:0.8450980400142568:0,0.8450980400142568; 
dramtic:0.8450980400142568:6,0.8450980400142568; 
dredain:0.8450980400142568:0,0.8450980400142568; 
drog:0.8450980400142568:6,1.2483122772269866; 
dud:0.6020599913279624:5,0.6020599913279624; 6,1.4999491997846799; 
due:0.8450980400142568:6,0.8450980400142568; 
duel:0.8450980400142568:6,1.6515265144397162; 
duerm:0.8450980400142568:6,1.0994978993353877; 
dulc:0.8450980400142568:6,1.3538977586565184; 
dunlendin:0.8450980400142568:2,0.8450980400142568; 
dur:0.8450980400142568:6,2.117097336619911; 
durez:0.8450980400142568:6,0.8450980400142568; 
durm:0.8450980400142568:6,1.4357962207073829; 
durmet:0.8450980400142568:6,1.2483122772269866; 
durmi:0.8450980400142568:6,1.0994978993353877; 
ebookelocom:0.8450980400142568:6,2.8943607583977347; 
ech:0.8450980400142568:6,2.2080585162947393; 
echa:0.8450980400142568:6,1.0994978993353877; 
echab:0.8450980400142568:6,0.8450980400142568; 
echad:0.8450980400142568:6,1.608297617977649; 
echam:0.8450980400142568:6,0.8450980400142568; 
echand:0.8450980400142568:6,1.0994978993353877; 
echar:0.8450980400142568:6,1.5027121365481173; 
echarl:0.8450980400142568:6,0.8450980400142568; 
echars:0.8450980400142568:6,0.8450980400142568; 
echart:0.8450980400142568:6,0.8450980400142568; 
eche:0.8450980400142568:6,0.8450980400142568; 
echen:0.8450980400142568:6,0.8450980400142568; 
echndol:0.8450980400142568:6,1.3538977586565184; 
echor:0.8450980400142568:0,1.2483122772269866; 
eco:0.8450980400142568:6,1.7864893837356755; 
ecos:0.8450980400142568:6,1.0994978993353877; 
ecosistem:0.8450980400142568:6,0.8450980400142568; 
ecuador:0.8450980400142568:6,0.8450980400142568; 
edad:0.8450980400142568:6,1.2483122772269866; 
edifici:0.8450980400142568:6,2.054740751652446; 
edison:0.8450980400142568:6,0.8450980400142568; 
edor:0.47712125471966244:0,0.47712125471966244; 2,0.47712125471966244; 3,0.47712125471966244; 
efect:0.8450980400142568:6,1.2483122772269866; 
egost:0.8450980400142568:6,0.8450980400142568; 
eh:0.8450980400142568:6,1.725176957126657; 
einstein:0.8450980400142568:6,0.8450980400142568; 
ejerc:0.8450980400142568:3,0.8450980400142568; 
ejercici:0.8450980400142568:6,0.8450980400142568; 
ejrcit:0.47712125471966244:6,0.764376873198569; 0,0.8803354919323922; 3,0.47712125471966244; 
eleccin:0.8450980400142568:6,1.0994978993353877; 
electr:0.8450980400142568:6,1.2483122772269866; 
electrn:0.8450980400142568:6,0.8450980400142568; 
electrodomst:0.8450980400142568:6,0.8450980400142568; 
eleg:0.8450980400142568:6,1.5592887372501953; 
elegir:0.8450980400142568:6,0.8450980400142568; 
element:0.8450980400142568:6,1.3538977586565184; 
elemental:0.8450980400142568:6,0.8450980400142568; 
elev:0.8450980400142568:6,1.7864893837356755; 
elevndos:0.8450980400142568:6,0.8450980400142568; 
elfo:0.6020599913279624:4,0.6020599913279624; 5,0.6020599913279624; 
elfos:0.6020599913279624:2,0.7832981079068755; 4,0.7832981079068755; 
elig:0.8450980400142568:6,1.4357962207073829; 
eligi:0.8450980400142568:6,1.0994978993353877; 
elimin:0.8450980400142568:6,1.4357962207073829; 
ellad:0.8450980400142568:0,0.8450980400142568; 
ellalara:0.8450980400142568:1,0.8450980400142568; 
elogi:0.8450980400142568:6,0.8450980400142568; 
elroh:0.8450980400142568:0,0.8450980400142568; 
elrond:0.47712125471966244:2,0.7047659464249274; 4,0.6207490639591157; 5,0.47712125471966244; 
elud:0.8450980400142568:6,0.8450980400142568; 
eludi:0.8450980400142568:6,0.8450980400142568; 
embarc:0.8450980400142568:6,0.8450980400142568; 
embarg:0.8450980400142568:6,1.5027121365481173; 
embest:0.8450980400142568:6,0.8450980400142568; 
embist:0.8450980400142568:6,0.8450980400142568; 
embols:0.8450980400142568:6,1.608297617977649; 
embruj:0.8450980400142568:6,1.0994978993353877; 
embud:0.8450980400142568:6,1.0994978993353877; 
emerg:0.8450980400142568:6,1.2483122772269866; 
emergent:0.8450980400142568:6,1.0994978993353877; 
emisari:0.8450980400142568:0,0.8450980400142568; 
emit:0.8450980400142568:6,1.608297617977649; 
emiti:0.8450980400142568:6,1.6515265144397162; 
emocin:0.8450980400142568:6,1.5592887372501953; 
emocion:0.8450980400142568:6,1.8390104579201128; 
emocional:0.8450980400142568:6,0.8450980400142568; 
empa:0.8450980400142568:6,1.0994978993353877; 
empap:0.8450980400142568:6,1.5027121365481173; 
emparch:0.8450980400142568:6,0.8450980400142568; 
empat:0.8450980400142568:6,0.8450980400142568; 
empec:0.8450980400142568:6,1.0994978993353877; 
empeor:0.8450980400142568:6,1.608297617977649; 
empez:0.8450980400142568:6,2.2169028337840557; 
empiec:0.8450980400142568:6,1.2483122772269866; 
empiez:0.8450980400142568:6,1.5027121365481173; 
emple:0.8450980400142568:6,1.2483122772269866; 
emprend:0.6020599913279624:1,0.7832981079068755; 2,0.6020599913279624; 
empu:0.8450980400142568:6,1.3538977586565184; 
empuadur:0.8450980400142568:6,1.0994978993353877; 
empuj:0.8450980400142568:6,2.1054448844259426; 
empujn:0.8450980400142568:6,1.2483122772269866; 
empujndol:0.8450980400142568:6,1.5027121365481173; 
empujon:0.8450980400142568:6,1.3538977586565184; 
emyn:0.8450980400142568:1,1.0994978993353877; 
enajen:0.8450980400142568:6,0.8450980400142568; 
enan:0.8450980400142568:4,1.0994978993353877; 
enanit:0.8450980400142568:6,0.8450980400142568; 
enarbol:0.8450980400142568:6,1.0994978993353877; 
encaj:0.8450980400142568:6,1.2483122772269866; 
encamin:0.8450980400142568:6,1.6901960800285136; 
encant:0.8450980400142568:6,1.725176957126657; 
encar:0.8450980400142568:6,1.6515265144397162; 
encarg:0.6020599913279624:4,0.6020599913279624; 6,1.763685933011516; 
encari:0.8450980400142568:6,0.8450980400142568; 
encarnacin:0.8450980400142568:6,1.0994978993353877; 
encastr:0.8450980400142568:6,0.8450980400142568; 
enceguecedor:0.8450980400142568:6,0.8450980400142568; 
encegueci:0.8450980400142568:6,0.8450980400142568; 
encend:0.8450980400142568:6,1.5592887372501953; 
encendi:0.8450980400142568:6,1.2483122772269866; 
encer:0.8450980400142568:6,1.5592887372501953; 
encerr:0.47712125471966244:6,0.9739918393182333; 3,0.47712125471966244; 4,0.47712125471966244; 
encierr:0.8450980400142568:6,1.0994978993353877; 
encog:0.8450980400142568:6,1.0994978993353877; 
encogi:0.8450980400142568:6,1.6901960800285136; 
encogindos:0.8450980400142568:6,0.8450980400142568; 
encomend:0.8450980400142568:6,0.8450980400142568; 
encontr:0.3424226808222063:0,0.3424226808222063; 2,0.44550217894536387; 4,0.5057998199405678; 5,0.44550217894536387; 6,1.1096375609333131; 
encontrarn:0.8450980400142568:6,0.8450980400142568; 
encontrrsel:0.8450980400142568:6,0.8450980400142568; 
encorv:0.8450980400142568:6,1.0994978993353877; 
encuadr:0.8450980400142568:6,0.8450980400142568; 
encuentr:0.3010299956639812:6,0.5882856141428877; 0,0.39164905395343774; 1,0.3010299956639812; 2,0.3010299956639812; 3,0.39164905395343774; 5,0.3010299956639812; 
ende:0.8450980400142568:3,0.8450980400142568; 
enderez:0.8450980400142568:6,1.6901960800285136; 
enemig:0.3424226808222063:6,0.5817658635212549; 0,0.44550217894536387; 1,0.3424226808222063; 2,0.3424226808222063; 4,0.3424226808222063; 
energ:0.8450980400142568:6,1.5592887372501953; 
enfatiz:0.8450980400142568:6,0.8450980400142568; 
enferm:0.8450980400142568:6,1.2483122772269866; 
enfermed:0.8450980400142568:6,1.608297617977649; 
enfermit:0.8450980400142568:6,0.8450980400142568; 
enfermiz:0.8450980400142568:6,0.8450980400142568; 
enfil:0.8450980400142568:6,1.0994978993353877; 
enfoc:0.8450980400142568:6,1.4357962207073829; 
enfrasc:0.8450980400142568:6,1.2483122772269866; 
enfrent:0.6020599913279624:6,1.4999491997846799; 4,0.6020599913279624; 
enfrentndos:0.8450980400142568:0,0.8450980400142568; 
enfurec:0.8450980400142568:6,0.8450980400142568; 
enga:0.8450980400142568:6,1.4357962207073829; 
enganch:0.8450980400142568:6,0.8450980400142568; 
engandol:0.8450980400142568:6,0.8450980400142568; 
engendr:0.8450980400142568:6,0.8450980400142568; 
engranaj:0.8450980400142568:6,0.8450980400142568; 
enigm:0.8450980400142568:6,1.4357962207073829; 
enjambr:0.8450980400142568:6,1.0994978993353877; 
enloquec:0.6020599913279624:6,1.070553726385782; 0,0.7832981079068755; 
enloquecedor:0.8450980400142568:6,0.8450980400142568; 
